sku,n_records,total_actual,forecastable,abc_class,cv,wape,bias,mase,hit_rate_20,mae,rmse
SKU_0022,7250,168710,True,A,0.47,34.85,-12.92,0.953,38.1,8.11,12.33
SKU_0023,7250,67212,True,C,0.54,121.48,119.44,2.613,6.1,11.26,13.03
SKU_0024,7250,167676,True,B,0.47,34.8,-12.51,0.937,36.2,8.05,12.17
SKU_0025,7250,67189,True,B,0.54,121.26,118.92,2.582,6.1,11.24,13.03
SKU_0026,7250,66824,True,C,0.53,122.19,120.05,2.575,6.1,11.26,13.04
SKU_0027,7250,423340,True,A,0.44,65.42,-65.1,2.069,2.5,38.2,49.58
SKU_0028,7250,67021,True,B,0.54,122.12,119.8,2.584,5.7,11.29,13.08
SKU_0029,7250,66999,True,C,0.53,121.88,119.8,2.556,6.3,11.26,13.06
SKU_0030,7250,422192,True,A,0.45,65.42,-65.13,2.054,2.8,38.1,49.59
SKU_0031,7250,67035,True,B,0.53,121.75,119.27,2.571,6.0,11.26,13.03
SKU_0032,7250,67378,True,B,0.53,120.93,118.7,2.577,6.5,11.24,13.06
SKU_0033,7250,66509,True,C,0.53,122.4,120.34,2.622,6.0,11.23,12.97
SKU_0034,7250,66725,True,C,0.54,122.88,120.61,2.605,6.1,11.31,13.13
SKU_0035,7250,168001,True,A,0.47,34.92,-12.48,0.939,37.7,8.09,12.34
SKU_0036,7250,67216,True,B,0.54,122.05,119.9,2.548,6.2,11.32,13.1
SKU_0037,7250,67459,True,B,0.53,120.55,118.14,2.572,6.3,11.22,13.0
SKU_0038,7250,66810,True,B,0.54,122.06,120.13,2.597,5.7,11.25,13.03
SKU_0039,7250,67210,True,B,0.53,121.7,119.54,2.588,5.9,11.28,13.05
SKU_0040,7250,67300,True,B,0.54,120.63,118.28,2.603,5.8,11.2,12.92
SKU_0041,7250,168607,True,A,0.47,35.0,-12.69,0.945,37.1,8.14,12.51
SKU_0042,7250,67159,True,C,0.53,121.77,119.44,2.54,5.9,11.28,13.08
SKU_0043,7250,66485,True,C,0.53,123.7,121.84,2.649,5.8,11.34,13.11
SKU_0044,7250,66954,True,C,0.53,121.65,119.41,2.619,6.1,11.23,13.0
SKU_0045,7250,66829,True,B,0.53,122.44,120.3,2.639,5.7,11.29,13.06
SKU_0046,7250,167265,True,B,0.47,34.92,-12.18,0.933,37.3,8.06,12.24
SKU_0047,7250,423241,True,A,0.44,65.4,-65.1,2.045,3.0,38.18,49.53
SKU_0048,7250,420851,True,A,0.44,65.32,-65.0,2.055,2.6,37.92,48.96
SKU_0049,7250,167125,True,A,0.47,35.02,-11.88,0.944,37.7,8.07,12.47
SKU_0050,7250,66950,True,B,0.53,121.9,119.75,2.543,6.3,11.26,13.04
SKU_0051,7250,67208,True,C,0.54,121.53,118.94,2.501,5.9,11.27,13.02
SKU_0052,7250,66951,True,B,0.53,122.73,120.43,2.624,5.6,11.33,13.08
SKU_0053,7250,167933,True,A,0.47,34.74,-12.37,0.942,37.5,8.05,12.28
SKU_0054,7250,67222,True,B,0.53,121.29,119.14,2.601,6.0,11.25,13.01
SKU_0055,7250,169302,True,A,0.48,34.69,-12.84,0.924,37.5,8.1,12.43
SKU_0056,7250,168721,True,A,0.47,34.76,-12.6,0.956,37.4,8.09,12.3
SKU_0057,7250,67796,True,B,0.54,119.67,117.39,2.508,6.2,11.19,12.97
SKU_0058,7250,66829,True,B,0.54,122.3,120.24,2.585,6.3,11.27,13.07
SKU_0059,7250,169458,True,A,0.47,34.92,-12.81,0.933,36.9,8.16,12.62
SKU_0060,7250,420686,True,A,0.44,65.32,-65.03,2.104,2.8,37.9,48.96
SKU_0061,7250,421788,True,A,0.44,65.45,-65.11,2.056,2.7,38.08,49.43
SKU_0062,7250,422573,True,A,0.44,65.36,-65.05,2.077,2.6,38.1,49.18
SKU_0063,7250,67090,True,B,0.54,121.44,118.96,2.544,6.3,11.24,13.02
SKU_0064,7250,168969,True,A,0.47,35.0,-12.78,0.944,37.6,8.16,12.57
SKU_0065,7250,67014,True,B,0.54,122.15,119.84,2.568,6.2,11.29,13.07
SKU_0066,7250,168394,True,B,0.47,34.49,-12.54,0.929,37.7,8.01,12.4
SKU_0067,7250,423750,True,A,0.44,65.44,-65.17,2.05,3.0,38.25,49.74
SKU_0068,7250,167982,True,A,0.46,34.63,-12.45,0.94,38.2,8.02,12.25
SKU_0069,7250,168352,True,A,0.47,34.37,-12.53,0.946,38.5,7.98,12.29
SKU_0070,7250,167683,True,B,0.47,34.75,-12.34,0.931,36.9,8.04,12.2
SKU_0071,7250,168760,True,B,0.47,34.69,-12.69,0.929,38.0,8.08,12.51
SKU_0072,7250,67300,True,C,0.54,120.82,118.5,2.571,6.5,11.22,13.01
SKU_0073,7250,421918,True,A,0.44,65.39,-65.05,2.07,2.8,38.05,48.92
SKU_0074,7250,67763,True,B,0.54,119.7,117.2,2.522,6.5,11.19,13.0
SKU_0075,7250,168622,True,A,0.47,35.07,-13.0,0.95,36.1,8.16,12.54
SKU_0076,7250,66878,True,B,0.53,121.8,119.81,2.587,6.0,11.24,13.02
SKU_0077,7250,66803,True,B,0.54,122.23,120.14,2.593,5.9,11.26,13.03
SKU_0078,7250,67149,True,B,0.54,122.33,119.85,2.58,6.1,11.33,13.14
SKU_0079,7250,66571,True,C,0.54,122.41,119.94,2.587,6.1,11.24,13.02
SKU_0080,7250,66595,True,B,0.53,123.52,121.09,2.572,6.2,11.35,13.12
SKU_0081,7250,67279,True,C,0.53,121.51,119.35,2.55,6.5,11.28,13.08
SKU_0082,7250,66843,True,C,0.54,122.14,119.56,2.601,5.9,11.26,13.06
SKU_0083,7250,67296,True,B,0.53,120.98,118.55,2.574,6.0,11.23,13.0
SKU_0084,7250,420883,True,A,0.44,65.22,-64.96,2.01,2.6,37.86,48.84
SKU_0085,7250,170305,True,A,0.48,35.23,-13.42,0.958,37.5,8.28,12.84
SKU_0086,7250,67599,True,B,0.53,120.05,117.67,2.559,6.0,11.19,12.99
SKU_0087,7250,67248,True,B,0.54,121.6,119.2,2.595,6.2,11.28,13.07
SKU_0088,7250,66979,True,C,0.54,122.67,120.16,2.553,5.9,11.33,13.12
SKU_0089,7250,67435,True,B,0.53,120.86,118.53,2.56,6.3,11.24,13.05
SKU_0090,7250,67467,True,B,0.54,120.94,118.6,2.583,5.8,11.25,13.04
SKU_0091,7250,167860,True,B,0.46,35.07,-12.46,0.951,36.9,8.12,12.31
SKU_0092,7250,168114,True,B,0.47,35.17,-12.36,0.943,36.3,8.15,12.4
SKU_0093,7250,167865,True,A,0.47,35.08,-12.24,0.919,37.0,8.12,12.46
SKU_0094,7250,167506,True,B,0.47,35.11,-12.35,0.937,35.6,8.11,12.31
SKU_0095,7250,67004,True,C,0.54,121.87,119.6,2.602,6.2,11.26,13.05
SKU_0096,7250,169030,True,A,0.47,34.59,-12.79,0.924,37.3,8.06,12.3
SKU_0097,7250,66089,True,C,0.53,123.99,121.87,2.617,5.8,11.3,13.05
SKU_0098,7250,168584,True,A,0.47,35.06,-12.8,0.936,37.0,8.15,12.48
SKU_0099,7250,66759,True,C,0.54,122.54,120.29,2.599,5.7,11.28,13.04
SKU_0100,7250,67380,True,C,0.53,120.73,118.3,2.568,6.2,11.22,13.0
SKU_0101,7250,168474,True,A,0.47,35.3,-12.69,0.942,36.7,8.2,12.53
SKU_0102,7250,66563,True,C,0.53,122.83,120.71,2.592,5.9,11.28,13.03
SKU_0103,7250,170051,True,A,0.47,34.93,-13.23,0.927,38.0,8.19,12.71
SKU_0104,7250,421862,True,A,0.44,65.36,-65.05,2.05,2.9,38.03,49.15
SKU_0105,7250,167532,True,A,0.47,34.73,-12.26,0.934,37.8,8.03,12.49
SKU_0106,7250,420373,True,A,0.44,65.31,-65.02,2.121,2.7,37.87,48.63
SKU_0107,7250,168224,True,A,0.47,34.98,-12.57,0.947,37.4,8.12,12.38
SKU_0108,7250,67387,True,B,0.54,120.6,118.51,2.569,6.2,11.21,12.97
SKU_0109,7250,66992,True,C,0.54,121.53,119.21,2.576,6.7,11.23,12.99
SKU_0110,7250,67690,True,C,0.53,120.39,118.2,2.536,6.3,11.24,13.04
SKU_0111,7250,423012,True,A,0.44,65.41,-65.12,2.048,2.5,38.17,49.54
SKU_0112,7250,67505,True,C,0.54,120.83,118.56,2.604,6.1,11.25,13.03
SKU_0113,7250,168355,True,A,0.47,34.67,-12.4,0.931,37.0,8.05,12.32
SKU_0114,7250,167989,True,A,0.47,34.92,-12.35,0.94,38.0,8.09,12.4
SKU_0115,7250,67136,True,B,0.54,121.59,119.19,2.537,6.2,11.26,13.01
SKU_0116,7250,419849,True,A,0.44,65.32,-65.0,2.045,2.9,37.83,48.93
SKU_0117,7250,67045,True,C,0.53,121.32,119.14,2.577,6.6,11.22,13.0
SKU_0118,7250,67503,True,C,0.54,120.97,118.52,2.535,6.7,11.26,13.07
SKU_0119,7250,167523,True,A,0.46,34.57,-12.15,0.929,36.6,7.99,12.1
SKU_0120,7250,168829,True,A,0.47,34.52,-12.39,0.911,38.3,8.04,12.37
SKU_0121,7250,167922,True,B,0.46,35.14,-12.38,0.976,37.3,8.14,12.37
SKU_0122,7250,66929,True,C,0.53,123.33,121.12,2.528,5.6,11.39,13.17
SKU_0123,7250,169225,True,A,0.47,35.1,-12.87,0.938,37.6,8.19,12.48
SKU_0124,7250,167469,True,A,0.46,34.38,-12.41,0.945,38.8,7.94,12.21
SKU_0125,7250,167837,True,A,0.47,34.48,-12.45,0.942,37.7,7.98,12.22
SKU_0126,7250,67233,True,C,0.54,121.26,118.96,2.539,6.2,11.25,13.06
SKU_0127,7250,420392,True,A,0.44,65.37,-65.06,2.058,3.0,37.91,49.23
SKU_0128,7250,168184,True,B,0.47,34.96,-12.38,0.932,37.4,8.11,12.37
SKU_0129,7250,67428,True,C,0.54,120.63,118.35,2.619,5.9,11.22,12.98
SKU_0130,7250,66891,True,C,0.54,122.68,120.26,2.588,6.2,11.32,13.15
SKU_0131,7250,167272,True,B,0.47,34.85,-12.53,0.945,37.7,8.04,12.25
SKU_0132,7250,167514,True,A,0.46,34.37,-12.51,0.933,38.0,7.94,12.12
SKU_0133,7250,168330,True,A,0.47,34.18,-12.72,0.946,38.1,7.94,12.22
SKU_0134,7250,66986,True,C,0.54,122.02,119.83,2.566,6.2,11.27,13.07
SKU_0135,7250,168189,True,A,0.47,35.07,-12.63,0.951,36.8,8.13,12.5
SKU_0136,7250,67046,True,B,0.53,121.16,119.0,2.581,6.0,11.2,12.99
SKU_0137,7250,67291,True,B,0.54,121.43,119.13,2.544,6.7,11.27,13.13
SKU_0138,7250,66707,True,C,0.53,123.13,120.95,2.6,5.8,11.33,13.14
SKU_0139,7250,169886,True,A,0.47,34.83,-13.03,0.938,38.4,8.16,12.69
SKU_0140,7250,66685,True,C,0.54,122.46,120.08,2.601,5.6,11.26,13.0
SKU_0141,7250,66823,True,C,0.54,122.47,120.44,2.597,6.5,11.29,13.11
SKU_0142,7250,67003,True,C,0.53,121.73,119.41,2.602,5.7,11.25,12.97
SKU_0143,7250,418091,True,A,0.44,65.13,-64.8,2.028,3.0,37.56,48.55
SKU_0144,7250,67841,True,B,0.54,120.14,117.96,2.614,6.4,11.24,13.05
SKU_0145,7250,417378,True,A,0.44,65.18,-64.88,2.036,3.3,37.52,48.45
SKU_0146,7250,169351,True,A,0.47,34.84,-12.99,0.94,37.4,8.14,12.44
SKU_0147,7250,419823,True,A,0.44,65.13,-64.81,2.031,3.0,37.71,48.62
SKU_0148,7250,67151,True,B,0.54,121.23,119.13,2.609,6.4,11.23,12.97
SKU_0149,7250,168228,True,A,0.47,35.2,-12.31,0.943,37.1,8.17,12.41
SKU_0150,7250,421425,True,A,0.45,65.45,-65.07,2.098,2.6,38.05,49.22
SKU_0151,7250,421951,True,A,0.44,65.37,-65.06,2.063,2.6,38.05,49.05
SKU_0152,7250,421843,True,A,0.44,65.42,-65.12,2.046,2.7,38.07,49.2
SKU_0153,7250,66901,True,B,0.53,122.73,120.27,2.634,6.3,11.32,13.12
SKU_0154,7250,67648,True,B,0.54,120.37,117.89,2.537,6.2,11.23,13.05
SKU_0155,7250,167534,True,B,0.47,34.53,-11.95,0.931,37.7,7.98,12.37
SKU_0156,7250,168676,True,B,0.47,34.55,-12.72,0.952,37.5,8.04,12.29
SKU_0157,7250,67302,True,B,0.54,121.29,118.96,2.604,6.2,11.26,13.07
SKU_0158,7250,421953,True,A,0.44,65.24,-64.94,2.117,2.4,37.97,48.72
SKU_0159,7250,168843,True,A,0.47,34.29,-12.76,0.956,37.7,7.98,12.17
SKU_0160,7250,66926,True,B,0.54,122.54,119.94,2.626,5.9,11.31,13.07
SKU_0161,7250,66777,True,C,0.54,122.91,120.48,2.607,5.8,11.32,13.1
SKU_0162,7250,168261,True,B,0.47,35.08,-12.5,0.953,37.8,8.14,12.56
SKU_0163,7250,66985,True,B,0.53,122.04,120.0,2.604,6.4,11.28,13.06
SKU_0164,7250,168509,True,A,0.47,35.22,-12.32,0.935,37.2,8.19,12.61
SKU_0165,7250,66726,True,B,0.54,122.71,120.45,2.574,5.8,11.29,13.04
SKU_0166,7250,421589,True,A,0.44,65.41,-65.09,2.106,2.9,38.04,49.19
SKU_0167,7250,421231,True,A,0.44,65.41,-65.06,2.092,3.0,38.0,49.11
SKU_0168,7250,423442,True,A,0.44,65.51,-65.16,2.063,2.7,38.26,49.71
SKU_0169,7250,66807,True,B,0.53,122.28,120.28,2.574,6.0,11.27,13.07
SKU_0170,7250,66554,True,C,0.54,122.59,120.5,2.581,6.1,11.25,13.02
SKU_0171,7250,418216,True,A,0.44,65.26,-64.92,2.034,2.6,37.64,48.41
SKU_0172,7250,423070,True,A,0.44,65.39,-65.1,2.045,2.6,38.16,49.52
SKU_0173,7250,66372,True,C,0.54,122.78,120.67,2.621,5.9,11.24,13.01
SKU_0174,7250,421819,True,A,0.44,65.49,-65.17,2.068,2.9,38.1,49.21
SKU_0175,7250,168641,True,A,0.47,35.08,-12.6,0.945,38.2,8.16,12.67
SKU_0176,7250,67219,True,C,0.53,121.45,119.24,2.622,5.7,11.26,13.05
SKU_0177,7250,167472,True,A,0.47,34.53,-12.16,0.917,38.3,7.98,12.33
SKU_0178,7250,67245,True,B,0.54,121.43,119.37,2.559,6.1,11.26,13.07
SKU_0179,7250,66413,True,C,0.53,123.33,121.36,2.625,5.8,11.3,13.09
SKU_0180,7250,167410,True,B,0.47,34.95,-12.28,0.943,37.4,8.07,12.36
SKU_0181,7250,421921,True,A,0.44,65.44,-65.16,2.084,2.5,38.09,48.94
SKU_0182,7250,166628,True,A,0.47,34.36,-11.62,0.916,37.9,7.9,12.02
SKU_0183,7250,67580,True,B,0.54,120.69,117.73,2.542,6.0,11.25,13.02
SKU_0184,7250,67064,True,C,0.53,122.24,119.6,2.558,6.1,11.31,13.12
SKU_0185,7250,67016,True,B,0.53,121.1,118.87,2.579,6.0,11.19,12.95
SKU_0186,7250,418947,True,A,0.44,65.2,-64.9,2.062,3.0,37.68,48.49
SKU_0187,7250,67696,True,B,0.54,120.16,117.69,2.543,6.2,11.22,12.97
SKU_0188,7250,67023,True,C,0.53,121.62,119.44,2.594,6.0,11.24,13.01
SKU_0189,7250,67768,True,B,0.53,119.42,117.04,2.559,6.2,11.16,12.98
SKU_0190,7250,67076,True,C,0.54,121.34,119.21,2.602,5.8,11.23,12.99
SKU_0191,7250,66898,True,C,0.54,122.77,120.28,2.559,6.0,11.33,13.07
SKU_0192,7250,67454,True,B,0.53,120.95,118.6,2.574,6.1,11.25,13.03
SKU_0193,7250,66707,True,B,0.54,123.22,121.08,2.666,5.9,11.34,13.15
SKU_0194,7250,168041,True,B,0.47,34.59,-12.54,0.933,37.9,8.02,12.33
SKU_0195,7250,419542,True,A,0.44,65.38,-65.07,2.104,3.0,37.84,48.59
SKU_0196,7250,67514,True,B,0.54,120.8,118.44,2.575,5.7,11.25,13.03
SKU_0197,7250,166846,True,A,0.47,34.71,-11.88,0.951,37.3,7.99,12.13
SKU_0198,7250,66943,True,C,0.54,121.46,119.11,2.587,5.8,11.22,12.97
SKU_0199,7250,66938,True,C,0.54,121.67,119.32,2.618,5.6,11.23,12.98
