sku,n_records,total_actual,forecastable,abc_class,cv,wape,bias,mase,hit_rate_20,mae,rmse
SKU_0109,7250,66992,True,C,0.54,121.52,119.2,2.576,6.8,11.23,12.99
SKU_0110,7250,67690,True,C,0.53,120.4,118.21,2.536,6.4,11.24,13.04
SKU_0111,7250,423012,True,A,0.44,65.41,-65.12,2.048,2.5,38.17,49.55
SKU_0112,7250,67505,True,C,0.54,120.79,118.54,2.603,6.3,11.25,13.02
SKU_0113,7250,168355,True,A,0.47,34.67,-12.43,0.931,37.3,8.05,12.32
SKU_0114,7250,167989,True,A,0.47,34.92,-12.36,0.94,38.0,8.09,12.4
SKU_0115,7250,67136,True,B,0.54,121.59,119.19,2.537,6.3,11.26,13.01
SKU_0116,7250,419849,True,A,0.44,65.31,-65.0,2.045,2.9,37.82,48.93
SKU_0117,7250,67045,True,C,0.53,121.28,119.08,2.576,6.8,11.22,13.0
SKU_0118,7250,67503,True,C,0.54,120.96,118.5,2.535,6.9,11.26,13.07
SKU_0119,7250,167523,True,A,0.46,34.56,-12.13,0.929,36.8,7.99,12.1
SKU_0120,7250,168829,True,A,0.47,34.53,-12.41,0.911,38.6,8.04,12.37
SKU_0121,7250,167922,True,B,0.46,35.15,-12.38,0.976,37.6,8.14,12.37
SKU_0122,7250,66929,True,C,0.53,123.34,121.12,2.529,5.8,11.39,13.17
SKU_0123,7250,169225,True,A,0.47,35.09,-12.88,0.938,37.7,8.19,12.47
SKU_0124,7250,167469,True,A,0.46,34.38,-12.41,0.945,39.1,7.94,12.21
SKU_0125,7250,167837,True,A,0.47,34.46,-12.47,0.941,38.2,7.98,12.22
SKU_0126,7250,67233,True,C,0.54,121.2,118.92,2.537,6.4,11.24,13.05
SKU_0127,7250,420392,True,A,0.44,65.38,-65.07,2.058,3.0,37.91,49.24
SKU_0128,7250,168184,True,B,0.47,34.95,-12.41,0.932,37.7,8.11,12.37
SKU_0129,7250,67428,True,C,0.54,120.58,118.29,2.618,5.9,11.21,12.97
SKU_0130,7250,66891,True,C,0.54,122.57,120.14,2.586,6.4,11.31,13.14
SKU_0131,7250,167272,True,B,0.47,34.86,-12.55,0.946,37.9,8.04,12.26
SKU_0132,7250,167514,True,A,0.46,34.37,-12.52,0.933,38.1,7.94,12.12
SKU_0133,7250,168330,True,A,0.47,34.18,-12.75,0.946,38.4,7.94,12.22
SKU_0134,7250,66986,True,C,0.54,122.0,119.81,2.566,6.5,11.27,13.07
SKU_0135,7250,168189,True,A,0.47,35.07,-12.65,0.951,37.2,8.14,12.51
SKU_0136,7250,67046,True,B,0.53,121.03,118.88,2.578,6.1,11.19,12.97
SKU_0137,7250,67291,True,B,0.54,121.42,119.12,2.544,7.0,11.27,13.13
SKU_0138,7250,66707,True,C,0.53,123.12,120.94,2.6,6.1,11.33,13.14
SKU_0139,7250,169886,True,A,0.47,34.83,-13.05,0.938,38.7,8.16,12.7
SKU_0140,7250,66685,True,C,0.54,122.44,120.03,2.6,5.7,11.26,13.0
SKU_0141,7250,66823,True,C,0.54,122.48,120.45,2.597,6.6,11.29,13.1
SKU_0142,7250,67003,True,C,0.53,121.69,119.39,2.601,5.8,11.25,12.96
SKU_0143,7250,418091,True,A,0.44,65.14,-64.82,2.029,3.0,37.57,48.57
SKU_0144,7250,67841,True,B,0.54,120.08,117.89,2.612,6.5,11.24,13.04
SKU_0145,7250,417378,True,A,0.44,65.19,-64.9,2.037,3.3,37.53,48.46
SKU_0146,7250,169351,True,A,0.47,34.83,-12.99,0.94,37.9,8.14,12.44
SKU_0147,7250,419823,True,A,0.44,65.13,-64.81,2.031,3.1,37.71,48.62
SKU_0148,7250,67151,True,B,0.54,121.14,119.04,2.607,6.6,11.22,12.96
SKU_0149,7250,168228,True,A,0.47,35.18,-12.31,0.943,37.1,8.16,12.41
SKU_0150,7250,421425,True,A,0.45,65.46,-65.08,2.098,2.6,38.05,49.23
SKU_0151,7250,421951,True,A,0.44,65.39,-65.07,2.063,2.6,38.06,49.07
SKU_0152,7250,421843,True,A,0.44,65.42,-65.13,2.046,2.8,38.07,49.21
SKU_0153,7250,66901,True,B,0.53,122.66,120.2,2.632,6.3,11.32,13.1
SKU_0154,7250,67648,True,B,0.54,120.3,117.8,2.536,6.5,11.22,13.04
SKU_0155,7250,167534,True,B,0.47,34.54,-11.97,0.931,38.0,7.98,12.37
SKU_0156,7250,168676,True,B,0.47,34.54,-12.72,0.952,38.0,8.04,12.29
SKU_0157,7250,67302,True,B,0.54,121.27,118.92,2.604,6.4,11.26,13.06
SKU_0158,7250,421953,True,A,0.44,65.23,-64.94,2.117,2.4,37.96,48.72
SKU_0159,7250,168843,True,A,0.47,34.29,-12.76,0.956,38.2,7.99,12.18
SKU_0160,7250,66926,True,B,0.54,122.48,119.89,2.625,6.1,11.31,13.07
SKU_0161,7250,66777,True,C,0.54,122.95,120.53,2.608,6.1,11.32,13.1
SKU_0162,7250,168261,True,B,0.47,35.09,-12.52,0.953,38.0,8.14,12.55
SKU_0163,7250,66985,True,B,0.53,122.06,120.0,2.604,6.5,11.28,13.06
SKU_0164,7250,168509,True,A,0.47,35.2,-12.34,0.934,37.7,8.18,12.61
SKU_0165,7250,66726,True,B,0.54,122.73,120.48,2.574,6.1,11.3,13.04
SKU_0166,7250,421589,True,A,0.44,65.42,-65.1,2.107,2.9,38.04,49.2
SKU_0167,7250,421231,True,A,0.44,65.41,-65.06,2.092,3.0,38.0,49.12
SKU_0168,7250,423442,True,A,0.44,65.51,-65.16,2.063,2.7,38.26,49.72
SKU_0169,7250,66807,True,B,0.53,122.2,120.2,2.572,6.1,11.26,13.05
SKU_0170,7250,66554,True,C,0.54,122.56,120.47,2.58,6.3,11.25,13.01
SKU_0171,7250,418216,True,A,0.44,65.26,-64.92,2.034,2.6,37.65,48.41
SKU_0172,7250,423070,True,A,0.44,65.39,-65.11,2.045,2.6,38.16,49.53
SKU_0173,7250,66372,True,C,0.54,122.73,120.61,2.62,6.2,11.24,13.0
SKU_0174,7250,421819,True,A,0.44,65.5,-65.17,2.068,2.9,38.11,49.21
SKU_0175,7250,168641,True,A,0.47,35.1,-12.6,0.945,38.6,8.16,12.68
SKU_0176,7250,67219,True,C,0.53,121.46,119.24,2.622,6.0,11.26,13.04
SKU_0177,7250,167472,True,A,0.47,34.52,-12.15,0.917,38.6,7.97,12.33
SKU_0178,7250,67245,True,B,0.54,121.4,119.35,2.558,6.2,11.26,13.06
SKU_0179,7250,66413,True,C,0.53,123.29,121.33,2.624,5.9,11.29,13.09
SKU_0180,7250,167410,True,B,0.47,34.95,-12.32,0.943,37.6,8.07,12.36
SKU_0181,7250,421921,True,A,0.44,65.45,-65.16,2.085,2.5,38.09,48.94
SKU_0182,7250,166628,True,A,0.47,34.35,-11.65,0.916,38.5,7.9,12.02
SKU_0183,7250,67580,True,B,0.54,120.72,117.75,2.543,6.1,11.25,13.02
SKU_0184,7250,67064,True,C,0.53,122.22,119.56,2.557,6.2,11.31,13.11
SKU_0185,7250,67016,True,B,0.53,121.11,118.87,2.58,6.2,11.19,12.94
SKU_0186,7250,418947,True,A,0.44,65.2,-64.9,2.062,3.1,37.68,48.49
SKU_0187,7250,67696,True,B,0.54,120.11,117.66,2.542,6.4,11.22,12.97
SKU_0188,7250,67023,True,C,0.53,121.59,119.42,2.593,6.2,11.24,13.0
SKU_0189,7250,67768,True,B,0.53,119.36,116.97,2.558,6.3,11.16,12.96
SKU_0190,7250,67076,True,C,0.54,121.28,119.14,2.601,6.0,11.22,12.98
SKU_0191,7250,66898,True,C,0.54,122.72,120.24,2.558,6.1,11.32,13.07
SKU_0192,7250,67454,True,B,0.53,120.93,118.55,2.574,6.3,11.25,13.02
SKU_0193,7250,66707,True,B,0.54,123.18,121.05,2.665,6.0,11.33,13.14
SKU_0194,7250,168041,True,B,0.47,34.58,-12.57,0.933,38.1,8.02,12.33
SKU_0195,7250,419542,True,A,0.44,65.39,-65.08,2.104,3.1,37.84,48.59
SKU_0196,7250,67514,True,B,0.54,120.72,118.34,2.574,6.0,11.24,13.02
SKU_0197,7250,166846,True,A,0.47,34.71,-11.93,0.951,37.4,7.99,12.13
SKU_0198,7250,66943,True,C,0.54,121.44,119.09,2.586,6.0,11.21,12.96
SKU_0199,7250,66938,True,C,0.54,121.61,119.25,2.617,5.7,11.23,12.98
